path	size_bytes	line_count	extension	notes
.env.example	364	20	.example	
.gitignore	558	44	[no_ext]	
.pre-commit-config.yaml	230	11	.yaml	
.python-version	5	1	[no_ext]	
FINALIZATION_NOTES.md	1010	23	.md	
LICENSE	11357	201	[no_ext]	
Makefile	804	44	[no_ext]	
README.md	3583	84	.md	readme
compose/README.md	517	12	.md	readme
compose/compose.advanced_serving.yaml	675	33	.yaml	
compose/compose.analytics.yaml	580	29	.yaml	
compose/compose.cdc.yaml	2026	85	.yaml	
compose/compose.connectors.yaml	4933	184	.yaml	
compose/compose.core.yaml	2634	114	.yaml	
compose/compose.feature_store.yaml	869	44	.yaml	
compose/compose.lakehouse.yaml	1471	65	.yaml	
compose/compose.metadata.yaml	1520	63	.yaml	
compose/compose.ml.yaml	3500	142	.yaml	
compose/compose.monitoring.yaml	586	29	.yaml	
compose/compose.query.yaml	942	42	.yaml	
compose/compose.streaming.yaml	541	29	.yaml	
config/README.md	1015	18	.md	readme
config/__init__.py	22	1	.py	
config/samples/lite.env	329	10	.env	
config/samples/pro.env	833	18	.env	
config/samples/standard.env	529	14	.env	
config/settings.py	912	34	.py	
core/README.md	1033	19	.md	readme
core/__init__.py	22	1	.py	
core/ai/__init__.py	74	1	.py	
core/ai/dataset_builders/README.md	529	13	.md	readme
core/ai/dataset_builders/__init__.py	725	19	.py	
core/ai/dataset_builders/builder.py	3200	99	.py	
core/ai/dataset_builders/contracts.py	4801	118	.py	
core/ai/dataset_builders/freshness.py	2118	75	.py	
core/ai/dataset_builders/models.py	769	33	.py	
core/ai/feature_contracts/README.md	577	13	.md	readme
core/ai/feature_contracts/__init__.py	61	1	.py	
core/ai/feature_contracts/customer_return_features.yaml	1102	39	.yaml	
core/ai/feature_contracts/inventory_position_daily.yaml	1074	41	.yaml	
core/ai/feature_contracts/product_demand_daily.yaml	971	39	.yaml	
core/ai/feature_contracts/shipment_delay_features.yaml	1016	37	.yaml	
core/ai/feature_contracts/stockout_features.yaml	1057	40	.yaml	
